filename	Name in catalogue	Original title	Transliterated title	Type	year	collector	place	performer	archive reference	original metadata	Number of voices	Performer gender or age	audio recording	additional remarks
Vinnytsia_294_Stradalnaia maty	Постова	Страдалнаіа мати 	Stradalnaia maty 	psalmid	2008	Матіяш Д., Кушка Т.	с. Переорки Вінницького р-ну Вінницької обл.	Діденко М. Ф., Діденко Н. С., Штербава А. А., Кучер К. Г., Новак Н. П. (заспівує), Проніна Г.	Транскрибування Єфремова Л. О., № 4 (238). Постова псальма.	"Зап. 2 квітня 2008 р. Матіяш Д., Кушка Т. у с. Переорки Вінницького р-ну Вінницької обл. від Ді-
денко М. Ф., Діденко Н. С., Штербави А. А., Кучер К. Г., Новак Н. П. (заспівує), Проніної Г. Роз-
шифр. Єфремова Л. О., № 4 (238). Постова псальма."	2 voices	women		
Vinnytsia_295_Oi u sadu Hetsymanskim	Постова	Оі у саду Гециманскім 	Oi u sadu Hetsymanskim 	psalmid	2008	Матіяш Д., Кушка Т.	с. Переорки Вінницького р-ну Вінницької обл.	Діденко М. Ф., Діденко Н. С., Штербава А. А., Кучер К. Г., Новак Н. П. (заспівує), Проніна Г.	Транскрибування Єфремова Л. О., № 6 (241). Постова псальма.	"Зап. 2 квітня 2008 р. Матіяш Д., Кушка Т. у с. Переорки Вінницького р-ну Вінницької обл. від Ді-
денко М. Ф., Діденко Н. С. (заспівує), Штербави А. А., Кучер К. Г., Новак Н. П., Проніної Г. Ро-
зшифр. Єфремова Л. О., № 6 (241). Постова псальма."	2 voices	women		
